Image,TP_H,FP_H,FN_H,Time_H,TP_D,FP_D,FN_D,Time_D
image_13.jpeg,0,0,1,1.7654895782470703,1,0,0,14.094352722167969
image_09.jpeg,0,0,1,1.2276172637939453,1,0,0,16.801118850708008
image_20.jpeg,0,0,0,2.2673606872558594,0,0,0,20.463943481445312
image_35.jpeg,0,0,1,5.242109298706055,1,0,0,20.14756202697754
image_21.jpeg,0,0,1,1.9960403442382812,1,0,0,17.16327667236328
image_14.jpeg,0,0,2,1.8038749694824219,2,0,0,17.83275604248047
image_30.jpeg,0,0,1,2.9697418212890625,1,0,0,16.17121696472168
image_15.jpeg,6,0,0,5.368709564208984,6,0,0,15.093088150024414
image_12.jpeg,0,0,0,2.049684524536133,0,0,0,17.27008819580078
image_18.jpeg,0,0,0,2.7549266815185547,0,0,0,16.991138458251953
image_11.jpeg,0,0,1,2.2275447845458984,1,0,0,16.07537269592285
image_08.jpeg,0,0,0,3.585338592529297,0,0,0,15.40064811706543
image_24.jpeg,0,0,1,1.819610595703125,1,0,0,14.305353164672852
image_07.jpeg,1,0,0,2.8197765350341797,1,0,0,14.720678329467773
image_31.jpeg,8,0,1,5.480766296386719,9,0,0,14.847517013549805
image_02.jpeg,0,0,1,4.163026809692383,1,0,0,14.48512077331543
image_16.jpeg,1,0,0,2.912759780883789,1,0,0,14.045000076293945
image_38.jpeg,0,0,1,1.6715526580810547,1,0,0,14.928340911865234
image_28.jpeg,0,0,0,1.3246536254882812,0,0,0,13.622045516967773
image_26.jpg,1,0,0,2.315998077392578,1,0,0,12.69221305847168
image_33.png,1,0,1,2.9311180114746094,2,0,0,12.68148422241211
image_37.jpeg,1,0,0,3.822803497314453,1,0,0,13.417482376098633
image_27.png,1,0,1,10.0555419921875,2,0,0,14.102935791015625
image_05.jpeg,2,0,0,3.765106201171875,2,0,0,13.04769515991211
image_39.jpeg,1,0,0,4.090785980224609,1,0,0,14.239788055419922
image_10.jpeg,1,0,0,3.053903579711914,1,0,0,13.945579528808594
image_03.jpeg,1,0,0,3.3915042877197266,1,0,0,14.878511428833008
image_40.jpeg,2,0,2,6.517171859741211,4,1,0,14.932870864868164
image_06.jpeg,1,0,0,3.377676010131836,1,0,0,13.582229614257812
image_32.jpeg,1,0,0,3.9403438568115234,1,0,0,13.48114013671875
image_25.jpeg,0,0,1,1.1789798736572266,1,0,0,14.570951461791992
image_36.jpeg,1,0,6,3.1516551971435547,7,0,0,13.728618621826172
image_04.jpeg,0,0,1,4.085540771484375,1,0,0,15.051841735839844
image_29.jpeg,0,0,0,1.734018325805664,0,0,0,14.17231559753418
image_34.jpeg,0,0,1,2.6922225952148438,1,0,0,13.314247131347656
image_22.jpeg,0,0,0,1.630544662475586,0,0,0,12.966156005859375
image_01.jpeg,1,0,0,5.843400955200195,1,0,0,12.797355651855469
image_17.jpeg,1,0,0,4.314422607421875,1,0,0,13.674497604370117
image_23.jpeg,0,0,2,2.348661422729492,2,0,0,12.585878372192383
image_19.jpeg,0,0,0,2.2656917572021484,0,0,0,12.992382049560547
